# cv  sampled_fes  reweighted_fes
-3.14159 8.16443 11.4713
-3.12058 7.71931 10.7298
-3.09956 7.28157 10.021
-3.07855 6.85249 9.34271
-3.05754 6.4331 8.69323
-3.03652 6.02434 8.0712
-3.01551 5.62708 7.47582
-2.99449 5.24227 6.90672
-2.97348 4.87088 6.36393
-2.95247 4.51391 5.84769
-2.93145 4.17227 5.35832
-2.91044 3.84677 4.8961
-2.88942 3.53798 4.46114
-2.86841 3.24628 4.05341
-2.8474 2.97183 3.67275
-2.82638 2.71462 3.3189
-2.80537 2.47459 2.99155
-2.78435 2.25163 2.69043
-2.76334 2.04572 2.41525
-2.74233 1.85689 2.16573
-2.72131 1.68521 1.94158
-2.7003 1.53078 1.74241
-2.67928 1.39367 1.56777
-2.65827 1.27386 1.41709
-2.63726 1.17119 1.28971
-2.61624 1.08537 1.18493
-2.59523 1.01595 1.10201
-2.57421 0.962343 1.0402
-2.5532 0.923855 0.998775
-2.53219 0.899673 0.976973
-2.51117 0.888896 0.974002
-2.49016 0.890535 0.988984
-2.46914 0.903524 1.02092
-2.44813 0.926739 1.06867
-2.42712 0.959028 1.13098
-2.4061 0.999251 1.20652
-2.38509 1.04634 1.29391
-2.36407 1.09933 1.39185
-2.34306 1.15741 1.49914
-2.32205 1.21994 1.61472
-2.30103 1.28637 1.73768
-2.28002 1.35625 1.86727
-2.259 1.42907 2.00274
-2.23799 1.50419 2.14332
-2.21698 1.5808 2.28806
-2.19596 1.6578 2.43574
-2.17495 1.73384 2.58473
-2.15393 1.8074 2.73301
-2.13292 1.87684 2.87818
-2.11191 1.94057 3.01754
-2.09089 1.99717 3.14829
-2.06988 2.04548 3.26776
-2.04886 2.08465 3.37356
-2.02785 2.11413 3.46376
-2.00684 2.13361 3.5369
-1.98582 2.14297 3.59188
-1.96481 2.14217 3.62787
-1.94379 2.13117 3.6441
-1.92278 2.10996 3.63978
-1.90177 2.07844 3.61402
-1.88075 2.03653 3.56595
-1.85974 1.98415 3.49481
-1.83872 1.92126 3.40014
-1.81771 1.84796 3.28197
-1.7967 1.76445 3.1409
-1.77568 1.67115 2.97821
-1.75467 1.56866 2.79584
