# cv  sampled_fes  reweighted_fes
-3.14159 0.432033 11.5255
-3.12058 0.35502 10.7692
-3.09956 0.2831 10.043
-3.07855 0.217286 9.347
-3.05754 0.158578 8.68131
-3.03652 0.107906 8.04613
-3.01551 0.0661036 7.44164
-2.99449 0.0338921 6.8679
-2.97348 0.0118661 6.32482
-2.95247 0.000476792 5.81214
-2.93145 -0 5.32937
-2.91044 0.0104906 4.87581
-2.88942 0.0317283 4.45061
-2.86841 0.0631667 4.05279
-2.8474 0.1039 3.68132
-2.82638 0.15266 3.33526
-2.80537 0.207865 3.01375
-2.78435 0.267706 2.71612
-2.76334 0.330286 2.44193
-2.74233 0.393783 2.19094
-2.72131 0.45661 1.96311
-2.7003 0.517562 1.75859
-2.67928 0.575893 1.57761
-2.65827 0.631346 1.42049
-2.63726 0.684101 1.28751
-2.61624 0.734679 1.17887
-2.59523 0.783811 1.09459
-2.57421 0.832286 1.03443
-2.5532 0.880812 0.997842
-2.53219 0.929897 0.983872
-2.51117 0.979768 0.991156
-2.49016 1.03033 1.01794
-2.46914 1.0812 1.06213
-2.44813 1.13177 1.12146
-2.42712 1.18137 1.19361
-2.4061 1.22938 1.27642
-2.38509 1.27542 1.36805
-2.36407 1.31941 1.46708
-2.34306 1.36161 1.57255
-2.32205 1.40253 1.68388
-2.30103 1.44277 1.8007
-2.28002 1.48293 1.92272
-2.259 1.5234 2.04948
-2.23799 1.56432 2.18028
-2.21698 1.60559 2.31409
-2.19596 1.6469 2.44955
-2.17495 1.68789 2.58514
-2.15393 1.72821 2.71923
-2.13292 1.7676 2.8502
-2.11191 1.80592 2.97652
-2.09089 1.84305 3.09672
-2.06988 1.87881 3.20923
-2.04886 1.91289 3.31226
-2.02785 1.94477 3.40375
-2.00684 1.97373 3.48129
-1.98582 1.99892 3.54224
-1.96481 2.01941 3.58402
-1.94379 2.0344 3.60432
-1.92278 2.04323 3.60139
-1.90177 2.04549 3.57417
-1.88075 2.04098 3.52225
-1.85974 2.02969 3.44575
-1.83872 2.01171 3.34508
-1.81771 1.98712 3.22087
-1.7967 1.95602 3.07396
-1.77568 1.91843 2.90552
-1.75467 1.87441 2.71731
-1.73365 1.8241 2.51187
-1.71264 1.76781 2.29258
-1.69163 1.70609 2.06359
-1.67061 1.63976 1.82958
-1.6496 1.56986 1.59539
-1.62858 1.49762 1.36573
-1.60757 1.42429 1.14489
-1.58656 1.35111 0.936627
-1.56554 1.27916 0.744072
-1.54453 1.20937 0.569801
-1.52351 1.14248 0.4159
-1.5025 1.07905 0.284077
-1.48149 1.01954 0.17576
-1.46047 0.964316 0.0921789
-1.43946 0.913682 0.0344133
-1.41844 0.867927 0.00341438
-1.39743 0.827305 -0
-1.37642 0.792031 0.0248351
-1.3554 0.762269 0.0784111
-1.33439 0.738114 0.161035
-1.31337 0.719596 0.272836
-1.29236 0.706683 0.4138
-1.27135 0.69929 0.583815
-1.25033 0.697286 0.782727
-1.22932 0.700489 1.0104
-1.2083 0.708654 1.26676
-1.18729 0.721463 1.55181
-1.16628 0.738524 1.86561
-1.14526 0.759373 2.20828
-1.12425 0.783507 2.57991
-1.10323 0.810411 2.98057
-1.08222 0.839598 3.4102
-1.06121 0.870637 3.8686
-1.04019 0.90317 4.35542
-1.01918 0.936912 4.87012
-0.998165 0.971648 5.412
-0.977151 1.00721 5.98018
-0.956137 1.04349 6.57362
-0.935123 1.08038 7.19116
-0.914109 1.11783 7.8315
-0.893095 1.15579 8.49326
-0.872081 1.19427 9.175
