# cv  sampled_fes  reweighted_fes
-3.14159 0.995339 11.4982
-3.12058 0.908828 10.7402
-3.09956 0.826512 10.0124
-3.07855 0.748596 9.31472
-3.05754 0.675605 8.64698
-3.03652 0.608335 8.00914
-3.01551 0.547789 7.40112
-2.99449 0.49508 6.8228
-2.97348 0.451334 6.2741
-2.95247 0.417605 5.75487
-2.93145 0.39478 5.26493
-2.91044 0.383514 4.80403
-2.88942 0.384163 4.37188
-2.86841 0.396746 3.96811
-2.8474 0.420914 3.59234
-2.82638 0.455951 3.24417
-2.80537 0.500811 2.9232
-2.78435 0.554183 2.62905
-2.76334 0.614585 2.36137
-2.74233 0.680488 2.11986
-2.72131 0.750429 1.90418
-2.7003 0.823117 1.71401
-2.67928 0.897494 1.54895
-2.65827 0.972749 1.40847
-2.63726 1.04829 1.29191
-2.61624 1.12367 1.19841
-2.59523 1.19853 1.12694
-2.57421 1.27254 1.0763
-2.5532 1.34536 1.0452
-2.53219 1.4167 1.03229
-2.51117 1.48637 1.03628
-2.49016 1.55432 1.05601
-2.46914 1.62072 1.09046
-2.44813 1.68592 1.13876
-2.42712 1.75044 1.20019
-2.4061 1.81488 1.2741
-2.38509 1.87983 1.35982
-2.36407 1.94578 1.45667
-2.34306 2.01308 1.56381
-2.32205 2.08192 1.6803
-2.30103 2.1523 1.80505
-2.28002 2.22406 1.93681
-2.259 2.29688 2.07417
-2.23799 2.3703 2.2156
-2.21698 2.44373 2.35938
-2.19596 2.5165 2.50371
-2.17495 2.58792 2.64669
-2.15393 2.65731 2.78641
-2.13292 2.72412 2.92102
-2.11191 2.78795 3.04884
-2.09089 2.84857 3.16838
-2.06988 2.90584 3.2783
-2.04886 2.95962 3.37737
-2.02785 3.00969 3.46434
-2.00684 3.05559 3.53784
-1.98582 3.09667 3.59632
-1.96481 3.13199 3.63806
-1.94379 3.16046 3.66123
-1.92278 3.18086 3.66396
-1.90177 3.19188 3.64451
-1.88075 3.19219 3.60129
-1.85974 3.18044 3.53303
-1.83872 3.15532 3.43892
-1.81771 3.11566 3.31872
-1.7967 3.06057 3.17299
-1.77568 2.9896 3.00324
-1.75467 2.90297 2.81195
-1.73365 2.80158 2.60251
-1.71264 2.68708 2.37903
-1.69163 2.56171 2.14605
-1.67061 2.42813 1.9083
-1.6496 2.28918 1.6704
-1.62858 2.14773 1.43671
-1.60757 2.0065 1.21124
-1.58656 1.86795 0.997606
-1.56554 1.73423 0.798954
-1.54453 1.60712 0.618021
-1.52351 1.48804 0.457127
-1.5025 1.37802 0.318213
-1.48149 1.27778 0.202877
-1.46047 1.18769 0.112424
-1.43946 1.1079 0.0479114
-1.41844 1.03836 0.0102015
-1.39743 0.978869 -0
-1.37642 0.929172 0.0178925
-1.3554 0.888973 0.0643715
-1.33439 0.857968 0.139855
-1.31337 0.835862 0.244702
-1.29236 0.822361 0.379216
-1.27135 0.817157 0.543649
-1.25033 0.819915 0.738195
-1.22932 0.830249 0.96298
-1.2083 0.847727 1.21805
-1.18729 0.871868 1.50336
-1.16628 0.902169 1.81874
-1.14526 0.93812 2.16394
-1.12425 0.979221 2.5386
-1.10323 1.02498 2.94225
-1.08222 1.07488 3.37438
-1.06121 1.12838 3.83444
-1.04019 1.18483 4.32184
-1.01918 1.24351 4.83595
-0.998165 1.30363 5.37615
-0.977151 1.36441 5.94171
-0.956137 1.42516 6.53185
-0.935123 1.48546 7.14563
-0.914109 1.54518 7.78197
-0.893095 1.60462 8.43964
