# cv  sampled_fes  reweighted_fes
-3.14159 0.934128 11.5566
-3.12058 0.871008 10.8034
-3.09956 0.811183 10.08
-3.07855 0.754523 9.38624
-3.05754 0.700625 8.72208
-3.03652 0.648925 8.08742
-3.01551 0.598835 7.48213
-2.99449 0.549888 6.90601
-2.97348 0.501834 6.35882
-2.95247 0.45467 5.84029
-2.93145 0.408615 5.35007
-2.91044 0.364023 4.88781
-2.88942 0.321294 4.45317
-2.86841 0.28079 4.04582
-2.8474 0.242791 3.66546
-2.82638 0.207481 3.31186
-2.80537 0.174979 2.98483
-2.78435 0.14537 2.68422
-2.76334 0.118738 2.40988
-2.74233 0.0951711 2.16165
-2.72131 0.0747463 1.9393
-2.7003 0.0574881 1.74251
-2.67928 0.0433226 1.57082
-2.65827 0.0320435 1.42366
-2.63726 0.0233074 1.30031
-2.61624 0.0166666 1.19994
-2.59523 0.0116347 1.12163
-2.57421 0.00776965 1.06441
-2.5532 0.00474985 1.0273
-2.53219 0.00241986 1.00932
-2.51117 0.000791459 1.0095
-2.49016 -0 1.02687
-2.46914 0.000230847 1.06051
-2.44813 0.00163911 1.10944
-2.42712 0.00428579 1.17273
-2.4061 0.00810585 1.24939
-2.38509 0.0129124 1.3384
-2.36407 0.0184305 1.4387
-2.34306 0.0243475 1.54917
-2.32205 0.0303656 1.6686
-2.30103 0.0362446 1.7957
-2.28002 0.0418276 1.92907
-2.259 0.0470503 2.06726
-2.23799 0.0519336 2.20872
-2.21698 0.0565678 2.35193
-2.19596 0.0610916 2.49534
-2.17495 0.0656704 2.63749
-2.15393 0.0704778 2.77693
-2.13292 0.075681 2.91226
-2.11191 0.0814323 3.04204
-2.09089 0.0878664 3.16476
-2.06988 0.095102 3.27875
-2.04886 0.103246 3.38218
-2.02785 0.112391 3.47308
-2.00684 0.122606 3.5494
-1.98582 0.133905 3.60912
-1.96481 0.146208 3.65037
-1.94379 0.159299 3.67151
-1.92278 0.172793 3.67116
-1.90177 0.186137 3.6482
-1.88075 0.198657 3.60175
-1.85974 0.209634 3.53117
-1.83872 0.21841 3.43608
-1.81771 0.224485 3.31649
-1.7967 0.227583 3.17291
-1.77568 0.227664 3.00648
-1.75467 0.224896 2.81912
-1.73365 0.219587 2.61354
-1.71264 0.212115 2.39323
-1.69163 0.202863 2.16229
-1.67061 0.192177 1.92522
-1.6496 0.180354 1.6867
-1.62858 0.167647 1.45131
-1.60757 0.154279 1.22335
-1.58656 0.140468 1.0067
-1.56554 0.126454 0.804789
-1.54453 0.112511 0.620584
-1.52351 0.0989575 0.456627
-1.5025 0.0861509 0.315098
-1.48149 0.0744671 0.197865
-1.46047 0.0642735 0.106518
-1.43946 0.0559004 0.0423977
-1.41844 0.0496197 0.00660393
-1.39743 0.0456397 -0
-1.37642 0.0441169 0.0232179
-1.3554 0.0451834 0.0766687
-1.33439 0.0489794 0.160562
-1.31337 0.0556825 0.274937
-1.29236 0.0655195 0.419695
-1.27135 0.0787569 0.594646
-1.25033 0.0956699 0.799542
-1.22932 0.116497 1.03412
-1.2083 0.141393 1.29811
-1.18729 0.170387 1.59127
-1.16628 0.203358 1.91336
-1.14526 0.240027 2.26415
-1.12425 0.279961 2.6434
-1.10323 0.322592 3.05081
-1.08222 0.367248 3.48604
-1.06121 0.413191 3.94865
-1.04019 0.459679 4.43811
-1.01918 0.506025 4.95377
-0.998165 0.551669 5.49489
-0.977151 0.596227 6.06064
-0.956137 0.639513 6.6501
-0.935123 0.681526 7.26229
-0.914109 0.722409 7.89621
-0.893095 0.762393 8.55083
-0.872081 0.801755 9.2251
-0.851067 0.840811 9.918
-0.830053 0.879928 10.6285
-0.809039 0.919553 11.3557
-0.788025 0.960227 12.0986
-0.767011 1.00255 12.8563
-0.745997 1.04711 13.6279
-0.724983 1.09432 14.4127
-0.703969 1.14429 15.2099
-0.682955 1.19674 16.0188
-0.661941 1.25085 16.8388
-0.640927 1.3054 17.6691
-0.619913 1.35887 18.5091
-0.598899 1.40969 19.358
-0.577885 1.4565 20.2147
-0.556871 1.49845 21.0783
-0.535857 1.53531 21.9475
-0.514843 1.56751 22.8208
-0.493829 1.596 23.6966
-0.472815 1.62198 24.5729
-0.451801 1.64666 25.4472
-0.430787 1.67098 26.3171
-0.409773 1.69548 27.1793
-0.388759 1.72031 28.0307
-0.367745 1.74526 28.8678
-0.346731 1.7699 29.6871
-0.325717 1.79367 30.4855
-0.304703 1.81604 31.2596
-0.283689 1.83645 32.0063
-0.262675 1.85443 32.7222
-0.241661 1.86952 33.4034
-0.220647 1.88136 34.0454
-0.199633 1.88974 34.6428
-0.178619 1.89467 35.1894
-0.157605 1.89645 35.6788
-0.136591 1.89568 36.1041
-0.115577 1.8932 36.4594
-0.094563 1.88999 36.7396
-0.073549 1.887 36.9411
-0.052535 1.88502 37.0615
-0.031521 1.8845 37.0994
-0.010507 1.88552 37.0542
0.010507 1.88775 36.926
0.031521 1.89049 36.7155
0.052535 1.8928 36.4245
0.073549 1.89367 36.0561
0.094563 1.89216 35.6146
0.115577 1.88761 35.1055
0.136591 1.87977 34.5345
0.157605 1.8688 33.908
0.178619 1.85524 33.2319
0.199633 1.83984 32.5121
0.220647 1.82337 31.7542
0.241661 1.80642 30.9634
0.262675 1.78921 30.145
0.283689 1.77154 29.3041
0.304703 1.75285 28.4455
0.325717 1.73235 27.5738
0.346731 1.70925 26.6933
0.367745 1.68296 25.8078
0.388759 1.6533 24.9209
0.409773 1.62047 24.0358
0.430787 1.58506 23.1554
0.451801 1.54783 22.2822
0.472815 1.50948 21.419
0.493829 1.47052 20.568
0.514843 1.43111 19.7316
0.535857 1.39107 18.9119
0.556871 1.34999 18.1109
0.577885 1.30739 17.3307
0.598899 1.26286 16.5729
0.619913 1.21624 15.8392
0.640927 1.16766 15.131
0.661941 1.11755 14.4496
0.682955 1.06653 13.7961
0.703969 1.01535 13.1714
0.724983 0.96476 12.5764
0.745997 0.915449 12.0118
0.767011 0.867981 11.4783
0.788025 0.822777 10.9768
0.809039 0.780117 10.5078
0.830053 0.740154 10.0723
0.851067 0.702951 9.67111
0.872081 0.668527 9.30498
0.893095 0.636925 8.97483
0.914109 0.608267 8.68153
0.935123 0.582813 8.42595
0.956137 0.560985 8.20892
0.977151 0.543361 8.03123
0.998165 0.530622 7.89363
1.01918 0.523476 7.79679
1.04019 0.522551 7.74131
1.06121 0.528298 7.72774
1.08222 0.54091 7.75654
1.10323 0.560288 7.82809
1.12425 0.586045 7.94273
1.14526 0.617574 8.1007
1.16628 0.654143 8.30222
1.18729 0.695018 8.54742
1.2083 0.739578 8.83642
1.22932 0.787397 9.16924
1.25033 0.838274 9.54589
1.27135 0.892215 9.9663
1.29236 0.94936 10.4304
1.31337 1.00989 10.9379
1.33439 1.07392 11.4888
1.3554 1.14145 12.0827
1.37642 1.21228 12.7194
1.39743 1.28602 13.3987
1.41844 1.36216 14.1201
1.43946 1.44004 14.8835
1.46047 1.51901 15.6887
1.48149 1.59842 16.5353
1.5025 1.67772 17.4233
1.52351 1.75648 18.3524
1.54453 1.83439 19.3225
1.56554 1.91132 20.3334
1.58656 1.98725 21.3848
1.60757 2.06231 22.4763
1.62858 2.13678 23.6077
1.6496 2.21112 24.7783
1.67061 2.28597 25.9874
1.69163 2.36221 27.2343
1.71264 2.44098 28.518
1.73365 2.52369 29.8373
1.75467 2.61203 31.1909
1.77568 2.70789 32.5773
1.7967 2.81338 33.9943
1.81771 2.93073 35.4399
1.83872 3.06229 36.9114
1.85974 3.21038 38.4058
1.88075 3.3773 39.9196
1.90177 3.56521 41.4493
1.92278 3.77603 42.9909
1.94379 4.01137 44.5403
1.96481 4.27236 46.0932
1.98582 4.55952 47.6449
2.00684 4.87254 49.1906
2.02785 5.21 50.7244
2.04886 5.56901 52.2389
2.06988 5.94461 53.7247
2.09089 6.32919 55.1686
2.11191 6.71152 56.5518
2.13292 7.07603 57.8467
2.15393 7.40227 59.0114
2.17495 7.66568 59.9836
2.19596 7.84047 60.6803
2.21698 7.90507 61.0163
2.23799 7.84869 60.9486
2.259 7.67542 60.5076
2.28002 7.40315 59.7766
2.30103 7.0579 58.8444
2.32205 6.66726 57.7787
2.34306 6.25574 56.6233
2.36407 5.84277 55.4048
2.38509 5.44257 54.1403
2.4061 5.06483 52.8409
2.42712 4.71564 51.5144
2.44813 4.39838 50.1672
2.46914 4.11435 48.8039
2.49016 3.86335 47.4287
2.51117 3.64405 46.0454
2.53219 3.45433 44.6574
2.5532 3.2915 43.2684
2.57421 3.15249 41.8818
2.59523 3.03398 40.5011
2.61624 2.93251 39.1296
2.63726 2.84452 37.7701
2.65827 2.76641 36.425
2.67928 2.69463 35.0961
2.7003 2.62574 33.7846
2.72131 2.55662 32.4916
2.74233 2.48468 31.2176
2.76334 2.40809 29.9631
2.78435 2.32598 28.7286
2.80537 2.23848 27.5148
2.82638 2.14664 26.3224
2.8474 2.05212 25.1523
2.86841 1.95686 24.0053
2.88942 1.86269 22.8825
2.91044 1.77105 21.7848
2.93145 1.68278 20.713
2.95247 1.59814 19.6681
2.97348 1.51684 18.6506
2.99449 1.4383 17.6613
3.01551 1.36181 16.7007
3.03652 1.2868 15.7693
3.05754 1.21297 14.8672
3.07855 1.14035 13.9949
3.09956 1.0693 13.1523
3.12058 1.00037 12.3395
3.14159 0.934128 11.5566
